timestamp,lote_producao,operador,modo_controle,status_valvula,setpoint_vazao_l_min,vazao_medida_l_min,pressao_linha_bar,temperatura_processo_c,abertura_valvula_pct,vibracao_bomba_mm_s,tempo_resposta_ms,ph_produto,densidade_produto_g_cm3,status_instrumentacao
2026-01-10 08:00:00,Lote_A,op_b,automatico,normal,121.44,128.08,3.518,55.55625000000001,56.97,2.96,220.8,7.09,1.069,estavel
2026-01-10 09:00:00,Lote_D,op_c,cascata,normal,126.17,119.32,4.616,43.34,63.26,2.532,402.1,6.99,1.053,inspecao
2026-01-10 10:00:00,Lote_B,op_d,manual,intermitente,128.54,129.11,4.118,40.67,63.14,2.182,284.1,6.72,1.021,inspecao
2026-01-10 11:00:00,Lote_C,op_a,automatico,intermitente,106.5,102.68,3.547,43.94,64.75,2.772,486.3,6.67,1.093,inspecao
2026-01-10 12:00:00,Lote_C,op_a,automatico,normal,101.59,118.565,4.085,55.55625000000001,83.82,3.173,283.3,6.66,1.004,estavel
2026-01-10 13:00:00,Lote_B,op_a,automatico,normal,135.33,138.0,4.238,49.94,65.26,2.59,332.0,6.48,1.068,estavel
2026-01-10 14:00:00,Lote_B,op_c,automatico,intermitente,123.99,132.29,4.08,41.55,54.09,2.207,420.2,7.37,1.07,inspecao
2026-01-10 15:00:00,Lote_C,op_c,cascata,normal,111.02,118.565,3.093,48.15,73.43,1.282,450.4,6.69,1.02,inspecao
2026-01-10 16:00:00,Lote_C,op_a,automatico,normal,138.61,136.45,3.473,43.88,77.03,1.454,454.0,7.23,1.082,inspecao
2026-01-10 17:00:00,Lote_B,op_d,manual,normal,121.39,113.56,3.689,44.51,38.36,1.986,398.5,6.82,1.032,estavel
2026-01-10 18:00:00,Lote_C,op_c,automatico,normal,134.15,130.6,3.767,45.13,67.56,1.773,321.4,7.15,1.049,estavel
2026-01-10 19:00:00,Lote_A,op_a,cascata,intermitente,120.81,123.83,4.079,44.46,69.22,2.069,358.5,6.65,1.048,inspecao
2026-01-10 20:00:00,Lote_A,op_a,manual,intermitente,144.73,150.79,3.88,45.53,53.24,2.24,370.6,6.94,1.036,inspecao
2026-01-10 21:00:00,Lote_B,op_a,automatico,normal,141.06,118.565,3.199,43.175,80.01,2.571,284.2,6.79,1.064,estavel
2026-01-10 22:00:00,Lote_D,op_b,automatico,normal,117.01,123.97,3.971,43.08,55.6,2.151,266.8,6.48,1.064,estavel
2026-01-10 23:00:00,Lote_B,op_c,automatico,normal,131.66,142.51,4.075,45.9,60.01,2.541,319.8,6.91,0.988,inspecao
