timestamp,linha_producao,turno,produto_quimico,tipo_valvula,status_sensor,vazao_setpoint_l_min,pressao_linha_bar,temperatura_produto_c,abertura_valvula_pct,vibracao_bomba_mm_s,ph_produto,consumo_energia_kwh,tempo_resposta_seg,erro_vazao_pct,leituras_invalidas,horas_operacao_bomba,status_instrumentacao
2026-03-06 07:00:00,Linha_C,Manhã,Ácido_Y,Borboleta,OK,127.66,4.46,45.51,80.42,3.53,7.58,18.01,3.29,4.66,3,3133,Normal
2026-03-02 17:00:00,Linha_B,Noite,Base_Z,Esfera,OK,131.68,5.09,35.64,61.61,1.61,8.19,25.6,1.62,5.64,1,1547,Normal
2026-03-03 07:00:00,Linha_C,Tarde,Ácido_Y,Globo,Instável,158.94,5.06,36.43,45.48,4.01,8.02,30.05,1.45,5.06,2,2300,Alerta
2026-03-07 14:00:00,Linha_A,Noite,Solvente_X,Globo,OK,157.35,4.73,39.69,47.95,2.41,6.85,14.89,2.74,3.06,1,3694,Normal
2026-03-10 02:00:00,Linha_B,Noite,Base_Z,Esfera,OK,121.38,4.8,32.98,54.65,1.98,6.38,15.02,1.7,7.41,1,2337,Normal
2026-03-03 21:00:00,Linha_C,Tarde,Base_Z,Esfera,OK,107.4,4.9,31.19,56.11,1.44,5.1,14.61,1.18,5.33,0,2481,Normal
2026-03-07 20:00:00,Linha_A,Noite,Solvente_X,Borboleta,OK,114.23,0.6,47.03,72.97,3.3,3.47,24.04,1.96,3.35,1,1395,Normal
2026-03-05 19:00:00,linha_a,Manhã,Ácido_Y,Globo,OK,94.25,4.03,36.24,70.35,3.18,8.0,32.53,1.14,2.29,3,2392,Normal
2026-03-03 12:00:00,Linha_A,Noite,Base_Z,Globo,Instável,118.28,4.6,33.96,63.4,2.99,7.88,16.73,2.14,0.98,2,2047,Normal
2026-03-08 05:00:00,Linha_A,Noite,Solvente_X,Esfera,OK,122.16,4.18,40.76,58.62,1.79,8.25,18.82,2.13,0.26,1,3269,Normal
2026-03-02 12:00:00,Linha_A,Noite,Solvente_X,Globo,OK,134.77,4.65,48.72,53.2,2.84,,16.5,2.08,1.23,2,3293,Normal
2026-03-07 18:00:00,Linha_B,Tarde,Solvente_X,Globo,OK,108.27,6.14,43.27,76.91,2.57,6.5,27.0,0.48,2.86,1,2889,Normal
2026-03-01 22:00:00,Linha_A,Noite,Base_Z,Globo,OK,110.68,4.86,30.54,64.24,2.68,8.26,26.56,2.08,3.98,2,3119,Normal
2026-03-09 03:00:00,Linha_A,Tarde,Ácido_Y,Globo,OK,144.84,5.79,46.84,37.46,4.56,4.66,,1.77,2.13,3,2010,Alerta
2026-03-02 02:00:00,Linha_A,Tarde,Solvente_X,Borboleta,OK,165.48,,38.4,54.5,4.28,5.54,34.83,2.32,8.02,1,1697,Alerta
2026-03-06 03:00:00,Linha_A,Tarde,Solvente_X,Esfera,INSTAVEL,76.37,5.24,39.88,62.62,2.57,8.37,32.41,0.69,4.36,1,1625,Normal
2026-03-07 10:00:00,Linha_C,Manhã,Aditivo_W,Globo,Instável,138.89,5.57,46.67,70.13,2.37,6.37,28.17,2.31,2.21,2,2144,Normal
2026-03-08 19:00:00,Linha_B,Manhã,Base_Z,Globo,Manutenção,111.74,4.86,35.39,63.81,3.47,6.87,15.88,1.99,10.23,1,1870,Alerta
2026-03-03 14:00:00,Linha_C,Tarde,Solvente_X,borboleta ,OK,130.94,5.75,34.18,25.93,2.51,6.46,24.09,1.51,4.37,0,2262,Normal
2026-03-06 23:00:00,Linha_A,Tarde,Solvente_X,Borboleta,OK,131.54,5.02,49.25,78.72,2.61,5.41,20.3,2.26,1.6,1,3342,Normal
2026-03-03 06:00:00,Linha_B,Tarde,Ácido_Y,Globo,OK,131.62,4.75,28.43,26.87,3.09,7.66,,1.41,4.88,4,3533,Normal
2026-03-06 01:00:00,Linha_C,Tarde,Solvente_X,Esfera,OK,85.99,5.15,44.49,47.73,2.2,6.39,27.14,1.96,2.17,0,1583,Normal
2026-03-01 03:00:00,Linha_B,Tarde,Ácido_Y,Globo,ok,128.49,4.46,35.97,66.35,1.84,,25.11,1.3,3.7,2,1801,Normal
2026-03-06 19:00:00,Linha_C,Tarde,Solvente_X,Globo,Instável,107.72,5.52,,48.64,3.5,5.32,26.99,1.34,3.12,3,2247,Normal
2026-03-08 06:00:00,Linha_B,Tarde,Aditivo_W,Borboleta,OK,131.04,4.99,29.63,60.1,1.73,7.73,,2.23,2.36,2,2611,Normal
2026-03-03 13:00:00,Linha_A,Manhã,Ácido_Y,Esfera,OK,125.02,12.4,19.86,54.36,2.12,6.55,28.38,2.54,0.0,0,2592,Normal
