linha_producao,turno,produto_quimico,tipo_valvula,status_sensor,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,pressao_linha_bar,desvio_pressao_pct,temperatura_produto_c,abertura_valvula_pct,vibracao_bomba_mm_s,ph_produto,consumo_energia_kwh,tempo_resposta_seg,horas_operacao_bomba,status_instrumentacao,acao_ideal_controle
Linha_C,Manhã,Base,Borboleta,OK,104.97,115.78,10.3,6.39,10.17,50.19,58.59,2.47,6.37,120.68,2.18,1257,Normal,Reduzir_Abertura
Linha_B,Noite,Acido,Esfera,OK,97.21,94.74,-2.54,5.79,-0.17,40.75,26.9,3.79,5.83,143.2,3.59,1892,Normal,Manter_Ajuste
Linha_C,Manhã,Acido,Borboleta,OK,100.91,98.73,-2.16,6.26,7.93,37.14,64.77,4.7,7.67,95.72,3.78,2382,Normal,Manter_Ajuste
Linha_B,Noite,Acido,Borboleta,Ruido,100.07,93.17,-6.9,5.42,-6.55,38.45,73.44,3.34,5.59,88.3,2.64,2543,Normal,Aumentar_Abertura
Linha_A,Tarde,Solvente,Esfera,OK,105.38,93.93,-10.87,7.81,34.66,50.91,40.9,6.47,6.54,143.12,4.23,1401,Falha,Aumentar_Abertura
Linha_C,Manhã,Solvente,Borboleta,OK,113.98,113.28,-0.61,4.39,-24.31,45.75,34.54,2.67,6.67,111.73,4.17,2362,Alerta,Manter_Ajuste
Linha_C,Tarde,Base,Esfera,OK,119.77,113.78,-5.0,6.93,19.48,39.3,16.19,3.65,8.55,116.37,3.04,1330,Normal,Aumentar_Abertura
Linha_C,Tarde,Solvente,Borboleta,OK,103.72,103.21,-0.49,7.03,21.21,40.34,50.2,2.08,6.41,84.15,1.98,2896,Normal,Manter_Ajuste
Linha_A,Noite,Acido,Globo,OK,107.07,97.47,-8.97,5.03,-13.28,31.03,44.53,2.71,4.12,110.06,4.38,1120,Normal,Aumentar_Abertura
Linha_B,Tarde,Base,Borboleta,OK,86.19,81.62,-5.3,7.81,34.66,44.72,27.08,3.55,7.35,124.83,2.74,2597,Normal,Aumentar_Abertura
Linha_B,Noite,Base,Esfera,OK,98.95,99.84,0.9,6.7,15.52,29.68,63.15,4.38,6.03,145.47,2.93,1406,Normal,Manter_Ajuste
Linha_C,Noite,Acido,Borboleta,OK,111.28,113.48,1.98,6.67,15.0,47.26,46.9,3.65,6.85,108.03,2.46,3008,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Esfera,OK,110.39,112.89,2.26,5.83,0.52,42.9,35.64,4.96,6.7,161.46,1.91,2155,Normal,Manter_Ajuste
Linha_C,Tarde,Acido,Borboleta,OK,102.54,94.62,-7.72,5.6,-3.45,58.71,45.02,3.07,6.5,109.94,1.33,1190,Normal,Aumentar_Abertura
Linha_B,Manhã,Acido,Globo,OK,110.64,115.77,4.64,5.61,-3.28,34.3,74.28,2.73,7.67,109.97,3.43,1487,Normal,Reduzir_Abertura
Linha_A,Tarde,Acido,Globo,OK,105.89,101.09,-4.53,6.15,6.03,41.28,65.85,6.99,5.11,158.82,2.02,2269,Normal,Aumentar_Abertura
Linha_B,Manhã,Base,Esfera,OK,114.4,118.2,3.32,7.06,21.72,54.59,52.66,3.75,6.23,129.65,5.86,2432,Alerta,Reduzir_Abertura
Linha_A,Tarde,Solvente,Borboleta,OK,103.47,103.41,-0.06,5.96,2.76,50.34,66.14,2.19,7.55,112.86,1.71,1758,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Borboleta,OK,95.73,87.47,-8.63,4.98,-14.14,37.13,34.1,2.23,6.12,121.59,1.54,1827,Normal,Aumentar_Abertura
Linha_B,Tarde,Base,Esfera,OK,104.03,102.13,-1.83,6.54,12.76,43.57,55.58,1.88,5.03,154.77,3.31,2255,Normal,Manter_Ajuste
Linha_C,Manhã,Solvente,Esfera,OK,64.83,67.02,3.38,6.63,14.31,42.01,57.65,4.51,7.54,157.26,4.33,1879,Normal,Reduzir_Abertura
Linha_B,Tarde,Base,Esfera,OK,104.59,108.27,3.52,6.39,10.17,43.97,46.54,2.69,8.04,107.03,2.86,1024,Normal,Reduzir_Abertura
Linha_C,Noite,Base,Borboleta,Instavel,56.22,55.37,-1.51,6.47,11.55,37.11,62.84,3.38,6.75,124.07,3.37,1312,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Esfera,OK,79.32,88.51,11.59,5.56,-4.14,41.37,40.95,3.11,4.64,126.98,0.96,1941,Normal,Reduzir_Abertura
Linha_C,Manhã,Solvente,Esfera,OK,105.42,111.47,5.74,4.96,-14.48,30.81,64.18,4.22,7.58,103.3,2.12,2529,Normal,Reduzir_Abertura
Linha_A,Tarde,Base,Borboleta,OK,105.73,104.19,-1.46,5.02,-13.45,42.95,64.93,2.01,4.97,123.77,1.73,2770,Normal,Manter_Ajuste
Linha_B,Tarde,Base,Globo,OK,86.05,90.55,5.23,4.33,-25.34,45.15,5.0,1.69,7.14,125.12,0.9,2268,Normal,Reduzir_Abertura
Linha_A,Manhã,Base,Borboleta,OK,91.45,103.05,12.68,6.01,3.62,40.41,76.43,3.51,5.82,150.08,2.92,1972,Normal,Reduzir_Abertura
Linha_A,Manhã,Acido,Globo,Instavel,116.45,128.21,10.1,5.72,-1.38,30.69,5.0,4.04,5.52,151.56,0.56,2249,Alerta,Reduzir_Abertura
Linha_B,Manhã,Base,Globo,Instavel,94.19,86.82,-7.82,5.4,-6.9,48.92,43.91,3.67,6.31,117.76,1.48,1400,Normal,Aumentar_Abertura
Linha_C,Noite,Solvente,Borboleta,OK,126.92,121.36,-4.38,3.14,-45.86,44.55,73.46,2.07,6.6,120.29,2.26,1708,Normal,Aumentar_Abertura
Linha_C,Noite,Acido,Borboleta,OK,99.98,108.89,8.91,4.68,-19.31,36.92,49.29,4.15,6.09,139.61,1.97,1306,Normal,Reduzir_Abertura
Linha_A,Noite,Solvente,Borboleta,OK,104.9,98.55,-6.05,6.81,17.41,40.04,28.61,2.16,7.45,112.13,3.2,1051,Normal,Aumentar_Abertura
Linha_B,Noite,Solvente,Borboleta,OK,119.4,111.46,-6.65,5.2,-10.34,31.5,35.31,2.47,6.31,137.95,3.11,2000,Normal,Aumentar_Abertura
Linha_B,Noite,Acido,Esfera,OK,101.57,98.65,-2.87,6.12,5.52,34.82,73.48,1.88,7.88,123.07,3.69,1911,Normal,Manter_Ajuste
Linha_A,Manhã,Solvente,Esfera,OK,87.97,90.49,2.86,4.55,-21.55,38.24,20.41,5.02,7.11,103.67,3.55,2213,Normal,Manter_Ajuste
Linha_A,Noite,Base,Globo,OK,98.68,98.07,-0.62,7.09,22.24,50.6,75.32,4.09,6.03,103.95,3.94,2128,Normal,Manter_Ajuste
Linha_B,Manhã,Acido,Globo,Ruido,99.57,95.67,-3.92,5.67,-2.24,37.52,54.01,4.05,5.85,156.84,2.8,1946,Normal,Aumentar_Abertura
Linha_A,Tarde,Solvente,Globo,OK,83.62,79.57,-4.84,6.06,4.48,46.48,33.54,4.95,4.99,121.56,3.1,2134,Normal,Aumentar_Abertura
