linha_producao,turno,equipamento_monitorado,produto_quimico,status_sensor,temperatura_processo_c,pressao_linha_bar,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,vibracao_mm_s,tempo_resposta_seg,consumo_energia_kwh,horas_operacao,umidade_ambiente_pct,ph_produto,condicao_operacional
Linha_C,Manhã,Bomba,Ácido,Instável,28.1,6.6,97.14,92.95,-4.31,3.2,3.72,90.32,1300,51.31,7.48,Normal
Linha_A,Tarde,Válvula,Ácido,OK,45.2,6.48,112.18,116.42,3.78,0.2,2.94,103.86,2241,43.56,7.72,Normal
Linha_A,Manhã,Trocador,Aditivo,OK,41.15,5.22,110.55,114.26,3.36,3.0,3.32,126.09,1622,56.64,5.75,Normal
Linha_A,Manhã,Válvula,Aditivo,Instável,57.56,3.51,96.73,89.59,-7.38,5.42,4.33,133.29,2459,63.29,5.84,Alerta
Linha_A,Noite,Trocador,Ácido,OK,44.19,5.69,108.31,122.8,13.38,2.31,2.39,161.42,3059,64.17,5.67,Normal
Linha_D,Manhã,Bomba,Aditivo,OK,60.33,6.66,94.95,105.81,11.44,1.26,3.6,97.28,1203,55.48,6.48,Alerta
Linha_D,Tarde,Sensor,Solvente,OK,36.39,6.37,106.59,100.23,-5.97,4.15,0.48,107.82,2155,39.32,8.2,Normal
Linha_B,Noite,Trocador,Aditivo,OK,54.63,6.93,104.03,95.92,-7.8,7.28,4.44,146.79,2437,65.84,7.88,Alerta
Linha_D,Manhã,Trocador,Solvente,Instável,47.13,5.48,96.66,94.01,-2.74,2.66,1.38,107.34,1702,50.24,7.68,Normal
Linha_D,Noite,Sensor,Aditivo,Instável,54.01,5.02,72.6,63.13,-13.04,4.12,2.79,135.26,2259,52.05,5.16,Alerta
Linha_B,Tarde,Válvula,Solvente,OK,36.4,4.56,67.79,60.14,-11.28,2.64,3.29,143.73,2665,70.71,8.92,Normal
Linha_A,Tarde,Sensor,Aditivo,OK,36.91,6.52,105.78,114.02,7.79,1.39,3.34,122.36,2307,60.74,4.93,Normal
Linha_D,Noite,Bomba,Aditivo,OK,38.91,6.14,84.17,84.76,0.7,2.68,3.44,142.9,1794,80.41,7.65,Normal
Linha_A,Manhã,Sensor,Solvente,OK,55.28,5.83,108.11,114.11,5.55,2.71,3.54,166.59,2834,59.33,7.27,Normal
Linha_C,Manhã,Trocador,Base,OK,47.26,5.81,125.93,142.4,13.08,2.84,5.39,143.93,3263,59.89,5.09,Alerta
Linha_C,Noite,Trocador,Solvente,Ruído,53.3,5.58,108.86,108.34,-0.48,1.55,4.51,142.81,2255,57.78,5.43,Alerta
Linha_D,Manhã,Válvula,Aditivo,OK,34.51,5.44,94.9,91.2,-3.9,1.28,3.72,160.09,2894,61.34,5.47,Normal
Linha_A,Noite,Bomba,Aditivo,OK,56.53,6.62,111.69,111.78,0.08,1.06,0.66,158.43,2365,56.92,5.28,Normal
Linha_C,Noite,Sensor,Base,OK,53.28,5.04,120.14,128.24,6.74,3.26,2.26,164.17,1247,59.98,7.02,Normal
Linha_B,Tarde,Bomba,Solvente,Instável,38.27,7.57,97.53,99.62,2.14,3.38,4.86,115.36,2722,56.41,7.94,Alerta
Linha_A,Manhã,Sensor,Solvente,OK,37.29,7.56,115.03,101.45,-11.81,4.92,0.4,121.65,2948,66.47,5.44,Alerta
Linha_A,Noite,Bomba,Aditivo,OK,42.71,7.79,101.65,96.92,-4.65,4.78,2.28,112.27,3027,70.38,7.06,Normal
